,wf_zipcode,state,county,latitude,longitude,windmills_count,pop_density,med_household_income,zipcode_withno_wf,distance_from_wfzipcode,Unnamed: 0,ZipCode,StateName,2009-01,2010-01,2011-01,2012-01,2013-01,2014-01,2015-01,2016-01,2017-01,2018-01,percent_2010_change,percent_2011_change,percent_2012_change,percent_2013_change,percent_2014_change,percent_2015_change,percent_2016_change,percent_2017_change,percent_2018_change
0,1507,MA,Worcester County,42.110889,-72.003899,1,308,93963.0,0,0,3636,1507,Massachusetts,296200.0,296200.0,296200.0,296200.0,296200.0,296200.0,296200.0,271600.0,272400.0,276000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08305199189736667,0.002945508100147265,0.013215859030837107
1,1930,MA,Essex County,42.628193,-70.649399,1,1099,61449.0,0,0,1407,1930,Massachusetts,351800.0,351800.0,351800.0,351800.0,350700.0,348300.0,345700.0,342100.0,362900.0,378900.0,0.0,0.0,0.0,-0.003126776577600965,-0.006843455945252375,-0.0074648291702554825,-0.01041365345675438,0.06080093539900622,0.04408928079360708
2,1938,MA,Essex County,42.716091,-70.841103,1,433,77087.0,0,0,3378,1938,Massachusetts,346200.0,346200.0,346200.0,346200.0,348500.0,372800.0,392200.0,393000.0,467100.0,420000.0,0.0,0.0,0.0,0.006643558636626246,0.0697274031563846,0.05203862660944214,0.0020397756246812726,0.1885496183206108,-0.100834938985228
3,2066,MA,Plymouth County,42.175091,-70.7285,1,1043,100833.0,0,0,3112,2066,Massachusetts,437500.0,421300.0,428600.0,421400.0,430400.0,430700.0,440400.0,476800.0,496700.0,498700.0,-0.03702857142857141,0.01732732019938288,-0.016798880074661682,0.0213573801613669,0.0006970260223049252,0.02252147666589277,0.08265213442325159,0.041736577181208157,0.004026575397624299
4,2122,MA,Suffolk County,42.304691,-71.0541,1,11554,50192.0,0,0,2785,2122,Massachusetts,314800.0,314800.0,314800.0,314800.0,314800.0,314800.0,314800.0,314800.0,395800.0,385000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2573062261753494,-0.027286508337544202
5,2129,MA,Suffolk County,42.391491,-71.070999,1,12192,86346.0,0,0,2923,2129,Massachusetts,396300.0,414700.0,448900.0,506600.0,458600.0,599100.0,576400.0,622500.0,649700.0,731800.0,0.04642947262175112,0.0824692548830479,0.128536422365783,-0.09474930911962098,0.306367204535543,-0.037890168586212636,0.0799791811242192,0.04369477911646591,0.1263660150838848
6,2150,MA,Suffolk County,42.39959,-71.01329799999998,1,15907,47291.0,0,0,1584,2150,Massachusetts,216900.0,216900.0,216900.0,216900.0,216900.0,216900.0,241200.0,261700.0,317400.0,341500.0,0.0,0.0,0.0,0.0,0.0,0.11203319502074693,0.08499170812603651,0.2128391287734046,0.0759294265910524
7,2152,MA,Suffolk County,42.347092,-70.957298,2,8871,64548.0,0,0,3044,2152,Massachusetts,288200.0,288200.0,288200.0,288200.0,288200.0,288200.0,323500.0,348500.0,363100.0,405300.0,0.0,0.0,0.0,0.0,0.0,0.12248438584316457,0.07727975270479126,0.041893830703013,0.11622142660424117
8,2155,MA,Middlesex County,42.408993,-71.099098,1,7072,73567.0,0,0,146,2155,Massachusetts,322200.0,327400.0,302900.0,297600.0,351000.0,367000.0,401400.0,450300.0,483900.0,544300.0,0.01613904407200506,-0.07483200977397675,-0.017497523935292136,0.17943548387096775,0.045584045584045496,0.09373297002724801,0.12182361733931235,0.07461692205196546,0.12481917751601568
9,2360,MA,Plymouth County,41.925491,-70.644302,1,589,76565.0,0,0,169,2360,Massachusetts,255200.0,282000.0,279700.0,242500.0,244200.0,283700.0,319100.0,326100.0,318900.0,346400.0,0.10501567398119116,-0.008156028368794366,-0.13299964247407936,0.007010309278350446,0.16175266175266168,0.12477969686288337,0.02193669696020062,-0.022079116835326595,0.08623392913138916
