,state,county,latitude,longitude,pop_density,med_household_income,ZipCode,StateName,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,percent_2010_change,percent_2011_change,percent_2012_change,percent_2013_change,percent_2014_change,percent_2015_change,percent_2016_change,percent_2017_change,percent_2018_change,Has_Windfarm,percent_higher_ed
0,MA,Worcester County,42.110889,-72.003899,308.0,93963.0,1507,Massachusetts,,,,,,,,271600.0,272400,276000.0,,,,,,,,0.002945508100147265,0.013215859030837107,1,0.45920303605313095
1,MA,Essex County,42.628193,-70.649399,1099.0,61449.0,1930,Massachusetts,,,,,350700.0,348300.0,345700.0,342100.0,362900,378900.0,,,,,-0.006843455945252375,-0.0074648291702554825,-0.01041365345675438,0.06080093539900622,0.04408928079360708,1,0.42331203750517077
2,MA,Essex County,42.716091,-70.841103,433.0,77087.0,1938,Massachusetts,,,,,348500.0,372800.0,392200.0,393000.0,467100,420000.0,,,,,0.0697274031563846,0.05203862660944214,0.0020397756246812726,0.1885496183206108,-0.100834938985228,1,0.5649285282866922
3,MA,Plymouth County,42.175091,-70.7285,1043.0,100833.0,2066,Massachusetts,437500.0,421300.0,428600.0,421400.0,430400.0,430700.0,440400.0,476800.0,496700,498700.0,-0.03702857142857141,0.01732732019938288,-0.016798880074661682,0.0213573801613669,0.0006970260223049252,0.02252147666589277,0.08265213442325159,0.041736577181208157,0.004026575397624299,1,0.6093533956893046
4,MA,Suffolk County,42.304691,-71.0541,11554.0,50192.0,2122,Massachusetts,,,,,,,,,395800,385000.0,,,,,,,,,-0.027286508337544202,1,0.25748651497302993
5,MA,Suffolk County,42.391491,-71.070999,12192.0,86346.0,2129,Massachusetts,396300.0,414700.0,448900.0,506600.0,458600.0,599100.0,576400.0,622500.0,649700,731800.0,0.04642947262175112,0.0824692548830479,0.128536422365783,-0.09474930911962098,0.306367204535543,-0.037890168586212636,0.0799791811242192,0.04369477911646591,0.1263660150838848,1,0.634900434196736
6,MA,Suffolk County,42.39959,-71.01329799999998,15907.0,47291.0,2150,Massachusetts,,,,,,,241200.0,261700.0,317400,341500.0,,,,,,,0.08499170812603651,0.2128391287734046,0.0759294265910524,1,0.20588107355691854
7,MA,Suffolk County,42.347092,-70.957298,8871.0,64548.0,2152,Massachusetts,,,,,,,323500.0,348500.0,363100,405300.0,,,,,,,0.07727975270479126,0.041893830703013,0.11622142660424117,1,0.4534547878249278
8,MA,Middlesex County,42.408993,-71.099098,7072.0,73567.0,2155,Massachusetts,322200.0,327400.0,302900.0,297600.0,351000.0,367000.0,401400.0,450300.0,483900,544300.0,0.01613904407200506,-0.07483200977397675,-0.017497523935292136,0.17943548387096775,0.045584045584045496,0.09373297002724801,0.12182361733931235,0.07461692205196546,0.12481917751601568,1,0.4979336809997048
9,MA,Plymouth County,41.925491,-70.644302,589.0,76565.0,2360,Massachusetts,255200.0,282000.0,279700.0,242500.0,244200.0,283700.0,319100.0,326100.0,318900,346400.0,0.10501567398119116,-0.008156028368794366,-0.13299964247407936,0.007010309278350446,0.16175266175266168,0.12477969686288337,0.02193669696020062,-0.022079116835326595,0.08623392913138916,1,0.44689042448173744
10,MA,Bristol County,41.639091,-70.873398,1287.0,60326.0,2719,Massachusetts,,,,,238200.0,227000.0,197400.0,221400.0,253600,277200.0,,,,,-0.0470193115029387,-0.13039647577092506,0.12158054711246202,0.14543812104787723,0.09305993690851744,1,0.3427032486113449
11,MA,Bristol County,41.74609,-71.116997,2811.0,74141.0,2726,Massachusetts,,,,,,,203600.0,243200.0,263400,272100.0,,,,,,,0.19449901768172895,0.08305921052631571,0.03302961275626415,1,0.3891321833944052
12,MA,Bristol County,41.62669,-71.010597,7579.0,34259.0,2740,Massachusetts,,,,,125200.0,151400.0,159700.0,151200.0,210000,183500.0,,,,,0.20926517571884995,0.05482166446499348,-0.05322479649342515,0.38888888888888884,-0.1261904761904762,1,0.23110957483581057
13,RI,Washington County,41.581593,-71.4869,730.0,77049.0,2852,Rhode Island,,,,,,,,264400.0,303300,325700.0,,,,,,,,0.14712556732223914,0.07385426969996711,1,0.5737757525190937
14,RI,Newport County,41.614353,-71.25131999999998,1009.0,74494.0,2871,Rhode Island,,,,,,,347900.0,316700.0,384300,395100.0,,,,,,,-0.0896809427996551,0.21345121566150937,0.02810304449648715,1,0.5733463509885282
15,RI,Newport County,41.620491,-71.1539,543.0,73085.0,2878,Rhode Island,,,,,,,,240000.0,240500,336100.0,,,,,,,,0.002083333333333437,0.3975051975051975,1,0.4308341224068176
16,OH,Franklin County,40.11075200000001,-83.082306,2854.0,64666.0,43235,Ohio,,,,,,,,231500.0,203600,229700.0,,,,,,,,-0.12051835853131754,0.12819253438113942,1,0.6016156315807644
17,OH,Lucas County,41.657192,-83.413498,521.0,55451.0,43616,Ohio,,,,,108800.0,124300.0,106100.0,130300.0,127100,127800.0,,,,,0.14246323529411775,-0.14641995172968625,0.22808671065032993,-0.024558710667689998,0.0055074744295831035,1,0.30031905505396783
18,OH,Cuyahoga County,41.366493,-81.83919499999998,3083.0,56199.0,44017,Ohio,,,,,,,,108600.0,130600,137300.0,,,,,,,,0.20257826887661134,0.05130168453292505,1,0.4086354961832061
19,OH,Lorain County,41.33990900000001,-82.042625,1249.0,67127.0,44039,Ohio,133500.0,146700.0,145600.0,142400.0,134700.0,141300.0,154300.0,161100.0,178900,182500.0,0.09887640449438195,-0.00749829584185413,-0.02197802197802201,-0.0540730337078652,0.04899777282850781,0.0920028308563341,0.044069993519118666,0.11049037864680322,0.020122973728339932,1,0.3700834326579261
20,OH,Medina County,41.24814600000001,-81.883057,2011.0,65113.0,44212,Ohio,,,,,148500.0,163000.0,151800.0,156100.0,163100,179600.0,,,,,0.09764309764309775,-0.06871165644171784,0.02832674571805005,0.04484304932735417,0.10116492949110967,1,0.33335563509851807
21,MN,Dakota County,44.728298,-93.048073,642.0,85602.0,55068,Minnesota,,,,190400.0,192400.0,204100.0,230500.0,225600.0,226300,250500.0,,,,0.010504201680672232,0.060810810810810745,0.12934835864772176,-0.02125813449023861,0.00310283687943258,0.10693769332744152,1,0.5077565295876347
22,MN,Ramsey County,45.011433,-92.998383,2686.0,51782.0,55109,Minnesota,185100.0,173000.0,157900.0,152400.0,141100.0,174900.0,194300.0,183500.0,204900,213400.0,-0.0653700702323069,-0.08728323699421969,-0.03483217226092461,-0.0741469816272966,0.2395464209780298,0.11092052601486557,-0.05558414822439528,0.1166212534059945,0.041483650561249474,1,0.3543123543123543
23,MN,Anoka County,45.22728,-93.38369,2827.0,84768.0,55316,Minnesota,,,,,,,185200.0,197100.0,226600,241400.0,,,,,,,0.06425485961123112,0.1496702181633689,0.06531332744924967,1,0.4705845261365786
24,MN,Scott County,44.799507,-93.499779,1787.0,116682.0,55347,Minnesota,,,,,,,339600.0,304700.0,322800,321100.0,,,,,,,-0.1027679623085983,0.05940269117164432,-0.005266418835192077,1,0.7367568934986086
25,MN,Hennepin County,45.09507,-93.435242,1357.0,78965.0,55369,Minnesota,,,,,,,193200.0,224700.0,220100,247100.0,,,,,,,0.16304347826086962,-0.02047174009790831,0.12267151294865974,1,0.5078505226628296
