,state,county,latitude,longitude,pop_density,med_household_income,ZipCode,StateName,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,percent_2012_change,percent_2013_change,percent_2014_change,percent_2015_change,percent_2016_change,percent_2017_change,percent_2018_change,Has_Windfarm,percent_higher_ed
3,MA,Plymouth County,42.175091,-70.7285,1043.0,100833.0,2066,Massachusetts,428600.0,421400.0,430400.0,430700.0,440400.0,476800.0,496700.0,498700.0,-0.016798880074661682,0.0213573801613669,0.0006970260223049252,0.02252147666589277,0.08265213442325159,0.041736577181208157,0.004026575397624299,1,0.6093533956893046
5,MA,Suffolk County,42.391491,-71.070999,12192.0,86346.0,2129,Massachusetts,448900.0,506600.0,458600.0,599100.0,576400.0,622500.0,649700.0,731800.0,0.128536422365783,-0.09474930911962098,0.306367204535543,-0.037890168586212636,0.0799791811242192,0.04369477911646591,0.1263660150838848,1,0.634900434196736
8,MA,Middlesex County,42.408993,-71.099098,7072.0,73567.0,2155,Massachusetts,302900.0,297600.0,351000.0,367000.0,401400.0,450300.0,483900.0,544300.0,-0.017497523935292136,0.17943548387096775,0.045584045584045496,0.09373297002724801,0.12182361733931235,0.07461692205196546,0.12481917751601568,1,0.4979336809997048
9,MA,Plymouth County,41.925491,-70.644302,589.0,76565.0,2360,Massachusetts,279700.0,242500.0,244200.0,283700.0,319100.0,326100.0,318900.0,346400.0,-0.13299964247407936,0.007010309278350446,0.16175266175266168,0.12477969686288337,0.02193669696020062,-0.022079116835326595,0.08623392913138916,1,0.44689042448173744
19,OH,Lorain County,41.33990900000001,-82.042625,1249.0,67127.0,44039,Ohio,145600.0,142400.0,134700.0,141300.0,154300.0,161100.0,178900.0,182500.0,-0.02197802197802201,-0.0540730337078652,0.04899777282850781,0.0920028308563341,0.044069993519118666,0.11049037864680322,0.020122973728339932,1,0.3700834326579261
22,MN,Ramsey County,45.011433,-92.998383,2686.0,51782.0,55109,Minnesota,157900.0,152400.0,141100.0,174900.0,194300.0,183500.0,204900.0,213400.0,-0.03483217226092461,-0.0741469816272966,0.2395464209780298,0.11092052601486557,-0.05558414822439528,0.1166212534059945,0.041483650561249474,1,0.3543123543123543
27,CA,San Bernardino County,34.084896,-117.52639,1184.0,103203.0,91739,California,415800.0,364400.0,416300.0,515800.0,491200.0,550000.0,624700.0,642000.0,-0.12361712361712363,0.14242590559824375,0.23901032908959885,-0.047692904226444344,0.11970684039087942,0.13581818181818184,0.027693292780534673,1,0.45753281752586283
28,CA,Riverside County,33.917194,-116.815086,255.0,39291.0,92220,California,118700.0,118000.0,146600.0,160400.0,178600.0,207900.0,225900.0,249300.0,-0.005897219882055604,0.24237288135593227,0.09413369713506148,0.11346633416458851,0.16405375139977596,0.08658008658008653,0.10358565737051784,1,0.2214457211456011
29,CA,Riverside County,33.881794,-116.460991,3251.0,44440.0,92234,California,162600.0,136800.0,167000.0,213700.0,231700.0,252900.0,251000.0,276200.0,-0.15867158671586712,0.2207602339181287,0.2796407185628742,0.08423022929340207,0.09149762624082869,-0.007512850929221049,0.10039840637450204,1,0.2211038156590684
32,CA,San Bernardino County,34.623196,-117.112785,222.0,56477.0,92307,California,125900.0,123000.0,142200.0,167700.0,189500.0,202600.0,224400.0,260900.0,-0.023034154090548098,0.15609756097560967,0.17932489451476785,0.12999403697078105,0.06912928759894466,0.10760118460019741,0.16265597147950084,1,0.2702543867013685
34,CA,San Bernardino County,34.561996,-117.30719,1218.0,53993.0,92394,California,114600.0,110700.0,125200.0,157600.0,176100.0,195400.0,211500.0,238300.0,-0.03403141361256545,0.13098464317976521,0.2587859424920127,0.11738578680203049,0.10959681998864279,0.08239508700102349,0.1267139479905437,1,0.14063860667634254
35,CA,San Bernardino County,34.557693,-117.358292,2479.0,38084.0,92395,California,102100.0,103200.0,125300.0,153600.0,167700.0,199600.0,206700.0,234000.0,0.010773751224289807,0.21414728682170536,0.22585794094173983,0.091796875,0.1902206320810973,0.035571142284569035,0.13207547169811318,1,0.19795291709314228
36,CA,Los Angeles County,34.691982,-118.221596,2215.0,35892.0,93534,California,95400.0,92600.0,114200.0,134500.0,144100.0,155900.0,196600.0,229400.0,-0.02935010482180289,0.2332613390928726,0.17775831873905434,0.07137546468401479,0.08188757807078417,0.2610647851186658,0.16683621566632767,1,0.2138728323699422
37,CA,Los Angeles County,34.555896999999995,-118.118286,382.0,38316.0,93550,California,116100.0,109600.0,127000.0,160700.0,177000.0,201400.0,229200.0,256000.0,-0.05598621877691645,0.15875912408759119,0.26535433070866143,0.10143123833229617,0.13785310734463274,0.1380337636544191,0.1169284467713787,1,0.14150943396226415
38,CA,Kern County,35.099396,-118.338585,131.0,57433.0,93561,California,155900.0,132800.0,158000.0,172000.0,230600.0,231800.0,233700.0,242400.0,-0.1481719050673509,0.18975903614457823,0.08860759493670889,0.34069767441860455,0.005203816131829964,0.008196721311475308,0.037227214377406836,1,0.2574420714109013
