,state,county,latitude,longitude,pop_density,med_household_income,ZipCode,StateName,y2015,y2016,y2017,y2018,percent_2016_change,percent_2017_change,percent_2018_change,Has_Windfarm,percent_higher_ed
1,MA,Essex County,42.628193,-70.649399,1099.0,61449.0,1930,Massachusetts,345700.0,342100.0,362900.0,378900.0,-0.01041365345675438,0.06080093539900622,0.04408928079360708,1,0.42331203750517077
2,MA,Essex County,42.716091,-70.841103,433.0,77087.0,1938,Massachusetts,392200.0,393000.0,467100.0,420000.0,0.0020397756246812726,0.1885496183206108,-0.100834938985228,1,0.5649285282866922
3,MA,Plymouth County,42.175091,-70.7285,1043.0,100833.0,2066,Massachusetts,440400.0,476800.0,496700.0,498700.0,0.08265213442325159,0.041736577181208157,0.004026575397624299,1,0.6093533956893046
5,MA,Suffolk County,42.391491,-71.070999,12192.0,86346.0,2129,Massachusetts,576400.0,622500.0,649700.0,731800.0,0.0799791811242192,0.04369477911646591,0.1263660150838848,1,0.634900434196736
6,MA,Suffolk County,42.39959,-71.01329799999998,15907.0,47291.0,2150,Massachusetts,241200.0,261700.0,317400.0,341500.0,0.08499170812603651,0.2128391287734046,0.0759294265910524,1,0.20588107355691854
7,MA,Suffolk County,42.347092,-70.957298,8871.0,64548.0,2152,Massachusetts,323500.0,348500.0,363100.0,405300.0,0.07727975270479126,0.041893830703013,0.11622142660424117,1,0.4534547878249278
8,MA,Middlesex County,42.408993,-71.099098,7072.0,73567.0,2155,Massachusetts,401400.0,450300.0,483900.0,544300.0,0.12182361733931235,0.07461692205196546,0.12481917751601568,1,0.4979336809997048
9,MA,Plymouth County,41.925491,-70.644302,589.0,76565.0,2360,Massachusetts,319100.0,326100.0,318900.0,346400.0,0.02193669696020062,-0.022079116835326595,0.08623392913138916,1,0.44689042448173744
10,MA,Bristol County,41.639091,-70.873398,1287.0,60326.0,2719,Massachusetts,197400.0,221400.0,253600.0,277200.0,0.12158054711246202,0.14543812104787723,0.09305993690851744,1,0.3427032486113449
11,MA,Bristol County,41.74609,-71.116997,2811.0,74141.0,2726,Massachusetts,203600.0,243200.0,263400.0,272100.0,0.19449901768172895,0.08305921052631571,0.03302961275626415,1,0.3891321833944052
12,MA,Bristol County,41.62669,-71.010597,7579.0,34259.0,2740,Massachusetts,159700.0,151200.0,210000.0,183500.0,-0.05322479649342515,0.38888888888888884,-0.1261904761904762,1,0.23110957483581057
14,RI,Newport County,41.614353,-71.25131999999998,1009.0,74494.0,2871,Rhode Island,347900.0,316700.0,384300.0,395100.0,-0.0896809427996551,0.21345121566150937,0.02810304449648715,1,0.5733463509885282
17,OH,Lucas County,41.657192,-83.413498,521.0,55451.0,43616,Ohio,106100.0,130300.0,127100.0,127800.0,0.22808671065032993,-0.024558710667689998,0.0055074744295831035,1,0.30031905505396783
19,OH,Lorain County,41.33990900000001,-82.042625,1249.0,67127.0,44039,Ohio,154300.0,161100.0,178900.0,182500.0,0.044069993519118666,0.11049037864680322,0.020122973728339932,1,0.3700834326579261
20,OH,Medina County,41.24814600000001,-81.883057,2011.0,65113.0,44212,Ohio,151800.0,156100.0,163100.0,179600.0,0.02832674571805005,0.04484304932735417,0.10116492949110967,1,0.33335563509851807
21,MN,Dakota County,44.728298,-93.048073,642.0,85602.0,55068,Minnesota,230500.0,225600.0,226300.0,250500.0,-0.02125813449023861,0.00310283687943258,0.10693769332744152,1,0.5077565295876347
22,MN,Ramsey County,45.011433,-92.998383,2686.0,51782.0,55109,Minnesota,194300.0,183500.0,204900.0,213400.0,-0.05558414822439528,0.1166212534059945,0.041483650561249474,1,0.3543123543123543
23,MN,Anoka County,45.22728,-93.38369,2827.0,84768.0,55316,Minnesota,185200.0,197100.0,226600.0,241400.0,0.06425485961123112,0.1496702181633689,0.06531332744924967,1,0.4705845261365786
24,MN,Scott County,44.799507,-93.499779,1787.0,116682.0,55347,Minnesota,339600.0,304700.0,322800.0,321100.0,-0.1027679623085983,0.05940269117164432,-0.005266418835192077,1,0.7367568934986086
25,MN,Hennepin County,45.09507,-93.435242,1357.0,78965.0,55369,Minnesota,193200.0,224700.0,220100.0,247100.0,0.16304347826086962,-0.02047174009790831,0.12267151294865974,1,0.5078505226628296
26,MN,Scott County,44.736092,-93.482994,686.0,79592.0,55379,Minnesota,230400.0,205600.0,234100.0,230400.0,-0.10763888888888884,0.1386186770428015,-0.0158052114480991,1,0.4760686046067459
27,CA,San Bernardino County,34.084896,-117.52639,1184.0,103203.0,91739,California,491200.0,550000.0,624700.0,642000.0,0.11970684039087942,0.13581818181818184,0.027693292780534673,1,0.45753281752586283
