,state,county,fips,project_name,project_op_year,windmills_count,capacity,longitude,latitude
0,AK,Aleutians East Borough,2013,Sand Point,4024,4,2.0,-320.97966,110.6884
1,AK,Aleutians West Census Area,2016,St. Paul Island I,1999,1,0.225,-170.235947,57.157486
2,AK,Aleutians West Census Area,2016,St. Paul Island II,4014,4,1.35,-340.47245799999996,114.31470100000001
3,AK,Anchorage Municipality,2020,Fire Island Project,22132,121,193.59999999999997,-1652.6563579999997,672.4333799999999
4,AK,Bethel Census Area,2050,Kasigluk,6018,9,0.8999999999999999,-487.53984,182.61149999999998
5,AK,Bethel Census Area,2050,Quinhagak,6030,9,0.8999999999999999,-485.743149,179.219902
6,AK,Bethel Census Area,2050,Toksook Bay,6030,12,1.2000000000000002,-495.33845600000006,181.579545
7,AK,Bethel Census Area,2050,Toksook Bay Expansion,2010,1,0.1,-165.116974,60.526302
8,AK,Bethel Census Area,2050,Tuntutuliak,10060,25,2.375,-813.313187,301.686696
9,AK,Bethel Census Area,2050,unknown Bethel Census Area,20128,100,-99990.0,-1624.831741,603.329656
10,AK,Denali Borough,2068,Eva Creek,24144,144,295.2,-1786.8343049999999,768.778285
11,AK,Kenai Peninsula Borough,2122,Klondike I,2001,16,24.0,-149.432159,60.126121999999995
12,AK,Kenai Peninsula Borough,2122,unknown Kenai Peninsula Borough,2018,1,-9999.0,-151.559158,59.656113
13,AK,Kodiak Island Borough,2150,Kodiak Island Wind Project,6027,9,13.5,-457.329833,173.360295
14,AK,Kodiak Island Borough,2150,Pillar Mountain II,6036,9,13.5,-457.365433,173.353798
15,AK,Kusilvak Census Area,2158,Chevak,8036,16,1.6,-662.4326020000001,246.099247
16,AK,Kusilvak Census Area,2158,Emmonak 1,8044,16,1.6,-658.238418,251.134002
17,AK,Kusilvak Census Area,2158,Hooper Bay,6024,9,0.8999999999999999,-498.289627,184.607304
18,AK,Kusilvak Census Area,2158,unknown Kusilvak Census Area,4032,4,-19998.0,-327.780853,124.813949
19,AK,Kusilvak Census Area,2158,unknown Wade Hampton County,2013,1,-9999.0,-164.671051,62.68531
20,AK,Lake and Peninsula Borough,2164,unknown Lake and Peninsula Borough,4020,4,-19998.0,-309.52928099999997,118.89325400000001
21,AK,Nome Census Area,2180,Gambell Wind,6030,9,0.8999999999999999,-515.134827,191.336406
22,AK,Nome Census Area,2180,Nome,32128,288,14.400000000000004,-2646.877105,1033.079615
23,AK,Nome Census Area,2180,Nome Newton Peak,4026,4,3.6,-330.857757,129.137108
24,AK,Nome Census Area,2180,Savoonga,4016,4,0.4,-340.996353,127.383805
25,AK,Nome Census Area,2180,Shaktoolik,4024,4,0.4,-322.406036,128.721092
26,AK,Nome Census Area,2180,Tin City Long Range Radar Station,2008,1,0.225,-167.96241799999999,65.568611
27,AK,Nome Census Area,2180,Unalakleet,12054,36,3.6,-964.6208799999999,383.45755800000006
28,AK,Nome Census Area,2180,Wales Wind Energy Project,4000,4,0.2,-336.17465200000004,131.23156
29,AK,Nome Census Area,2180,unknown Nome Census Area,2015,1,-9999.0,-166.059753,66.258034
30,AK,Northwest Arctic Borough,2188,Kotzebue Wind Project,6026,11,5.715,-487.680466,200.505379
31,AK,Northwest Arctic Borough,2188,Kotzebue Wind Project Phase I,11982,18,0.9,-975.344131,401.03531699999996
32,AK,Northwest Arctic Borough,2188,Kotzebue Wind Project Phases II & III,9995,35,1.75,-812.7868649999998,334.19111
33,AK,Northwest Arctic Borough,2188,Kotzebue Wind Project2,6018,3,0.198,-487.677994,200.50921599999998
34,AK,Northwest Arctic Borough,2188,Selawik Wind Project,8016,13,0.7100000000000001,-640.0724789999999,266.43230500000004
35,AK,Northwest Arctic Borough,2188,unknown Kotzebue Wind Project,4006,4,-19998.0,-325.10890200000006,133.672226
36,AK,Northwest Arctic Borough,2188,unknown Northwest Arctic Borough,6045,9,-29997.0,-485.33952300000004,198.013383
37,AK,Southeast Fairbanks Census Area,2240,Delta Junction,6032,3,1.9000000000000001,-436.788911,192.042816
38,AR,Washington County,5143,Bitworks,2003,1,0.1,-94.334,35.976391
39,AZ,Cochise County,4003,Fort Huachuca,2011,1,1.0,-110.31748999999999,31.505396
40,AZ,Cochise County,4003,Red Horse 2,30225,225,450.0,-1651.3259820000003,484.328761
41,AZ,Coconino County,4005,Perrin Ranch,124744,3844,6150.399999999993,-6961.964485,2196.6465109999995
42,AZ,Mohave County,4015,Kingman,10055,25,50.0,-570.339348,175.72868
43,AZ,Navajo County,4017,Dry Lake,60270,900,1890.0,-3308.5372709999992,1039.6470530000001
44,AZ,Navajo County,4017,Dry Lake II,62310,961,2018.0999999999988,-3415.233452000001,1072.9783469999998
45,CA,Alameda County,6001,Diablo Winds,62124,961,634.26,-3770.5860430000002,1170.665764
46,CA,Alameda County,6001,Golden Hills,98735,2352,4204.800000000002,-5960.040533999999,1848.067589
47,CA,Alameda County,6001,Golden Hills North,40340,400,920.0,-2432.813929,755.3816689999999
48,CA,Alameda County,6001,Green Ridge Power,1023228,722400,72240.0,-62737.10087800004,19444.690701
49,CA,Alameda County,6001,Patterson Pass,252095,25527,1659.2550000000047,-15444.973088999994,4787.4840509999985
50,CA,Alameda County,6001,Patterson Wind,144905,5329,531.439999999999,-8877.826066000001,2752.0009300000006
51,CA,Alameda County,6001,Santa Clara,190656,19200,1728.0,-11678.607985999995,3622.519394
52,CA,Alameda County,6001,Vasco (repower),2011,34,78.2,-121.657784,37.791996000000005
53,CA,Alameda County,6001,unknown Alameda County,12072,36,-59994.0,-732.910996,226.446488
54,CA,Alameda County,6001,unknown Alameda County 2 NEG Micon 60KW,166404,7056,622.4400000000003,-10212.755922999997,3172.3265590000005
55,CA,Alameda County,6001,unknown Alameda County 250KW,1987,1,4.25,-121.59608500000002,37.696896
56,CA,Alameda County,6001,unknown Alameda County 65KW,95088,2304,152.88000000000008,-5835.0104029999975,1810.926868
57,CA,Alameda County,6001,unknown Alameda County Bonus,31696,256,539.5200000000002,-1946.3770980000002,603.6819169999999
58,CA,Alameda County,6001,unknown Alameda County Enertech,1981,1,5.36,-121.60828400000001,37.750996
59,CA,Contra Costa County,6013,Buena Vista,74222,1406,1406.0,-4501.361435,1398.6336229999997
60,CA,Contra Costa County,6013,Vasco (repower),66363,1122,2580.5999999999995,-4016.3042680000003,1247.1361359999999
61,CA,Contra Costa County,6013,unknown Contra Costa County,2006,1,-9999.0,-121.653076,37.802406
62,CA,Imperial County,6025,Ocotillo Wind I,225362,9160,21709.19999999999,-12996.543379999997,3667.6938010000013
63,CA,Kern County,6029,251 Wind,377530,36860,3501.6999999999894,-22488.211957000007,6665.849495000002
64,CA,Kern County,6029,Alite Wind Farm,16064,64,192.0,-946.7286079999999,280.280958
65,CA,Kern County,6029,Alta I,201000,10000,15000.0,-11837.162192000003,3503.753038000001
66,CA,Kern County,6029,Alta II,82410,2050,6150.0,-4847.585221,1436.067869
67,CA,Kern County,6029,Alta III,100550,2500,7500.0,-5914.192780000001,1750.488883
68,CA,Kern County,6029,Alta IV,74407,1258,3774.0,-4377.69744,1296.179714
69,CA,Kern County,6029,Alta V,112616,3136,9408.0,-6621.95076,1960.7188589999998
70,CA,Kern County,6029,Alta VI (partial),92506,2024,6072.0,-5442.161347000001,1611.0529690000003
71,CA,Kern County,6029,Alta VIII (partial),116638,2494,7482.0,-6857.493856999998,2030.0767209999995
72,CA,Kern County,6029,Alta X,96624,2304,6566.400000000005,-5675.211289999999,1684.6956959999995
73,CA,Kern County,6029,Alta XI,98637,1771,3067.0499999999984,-5800.4564279999995,1719.2758099999994
74,CA,Kern County,6029,Brookfield Tehachapi 1 (CCDLP),54324,914,2742.0,-3194.7896430000005,946.6177670000001
75,CA,Kern County,6029,Brookfield Tehachapi 2,16096,56,168.0,-945.953141,280.377915
76,CA,Kern County,6029,Brookfield Tehachapi 3,2004,9,13.5,-118.32202099999999,35.057533
77,CA,Kern County,6029,Cameron Ridge,35982,1440,1080.0,-2129.576547,631.4216900000001
78,CA,Kern County,6029,Coram Energy LLC,16040,48,72.0,-946.728333,280.49985100000004
79,CA,Kern County,6029,Difwind 6,427205,53715,-4221.0,-25427.436127999994,7538.014475000008
80,CA,Kern County,6029,H & S - Tehachapi,85355,1935,174.15000000000006,-5089.757521,1508.324619
81,CA,Kern County,6029,Manzana Winds,253512,15876,23814.0,-14926.120191000002,4401.520416000001
82,CA,Kern County,6029,Mustang Hills,12072,36,108.0,-709.4470289999999,210.178272
83,CA,Kern County,6029,North Sky River,201200,10000,16200.0,-11818.634376,3533.557501999998
