,ZipCode,StateName,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08
0,60657,Illinois,366800.0,380300.0,392100.0,394000.0,389300.0,380200.0,366300.0,355900.0,346600.0,368600.0,369600.0,383500.0,366300.0,362200.0,358700.0,367800.0,377100.0,382800.0,366700.0,349600.0,323200.0,342000.0,354500.0,387300.0,370000.0,361700.0,352800.0,363800.0,373500.0,371700.0,402000.0,415100.0,409700.0,395700.0,392500.0,398800.0,377700.0,365100.0,375300.0,384500.0,391700.0,393600.0,401500.0,396800.0,363400.0,367000.0,373200.0,389000.0,351200.0,348000.0,348600.0,360800.0,346200.0,342300.0,376900.0,383000.0,373200.0,322300.0,322300.0,346500.0,370500.0,365400.0,361600.0,361800.0,374100.0,377600.0,382200.0,382000.0,370400.0,377500.0,381700.0,390000.0,381000.0,384200.0,392300.0,404100.0,403200.0,390600.0,398700.0,407900.0,419800.0,400300.0,396000.0,395900.0,399300.0,398700.0,390800.0,396000.0,383200.0,389400.0,388400.0,393700.0,356500.0,360900.0,351300.0,379000.0,386700.0,397800.0,405700.0,400500.0,399600.0,368900.0,356000.0,348700.0,388600.0,395900.0,407700.0,372600.0,383600.0,379600.0,405500.0,379100.0,385100.0,362800.0,376400.0,393600.0,414800.0,411200.0,403000.0,407500.0,421700.0,367400.0,367000.0,364600.0,414100.0,413200.0
1,77494,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250600.0,268200.0,260800.0,257000.0,244000.0,248200.0,247800.0,247100.0,250200.0,250700.0,267100.0,269500.0,276600.0,269600.0,265000.0,254900.0,254300.0,256000.0,268800.0,266100.0,263300.0,251800.0,247700.0,250100.0,259000.0,265700.0,268000.0,265700.0,272700.0,278200.0,278200.0,273400.0,271300.0,276200.0,279500.0,280300.0,281000.0,281700.0,281000.0,276400.0,277100.0,280800.0,289500.0,290900.0,289300.0,293700.0,292100.0,304300.0,301800.0,313200.0,311100.0,311500.0,306600.0,302800.0,310900.0,311900.0,316600.0,306500.0,312000.0,309700.0,312800.0,308200.0,313500.0,321600.0,322600.0,322400.0,314100.0,321400.0,325500.0,331800.0,332400.0,328500.0,326400.0,318500.0,318600.0,323700.0,321600.0,322000.0,318500.0,319900.0,317800.0,328400.0,333500.0,336500.0,332900.0,330100.0,336000.0,329700.0,
2,79936,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111400.0,112500.0,112300.0,117200.0,118800.0,125100.0,121200.0,125400.0,115600.0,117500.0,113100.0,120600.0,116600.0,116400.0,115200.0,119200.0,120300.0,120600.0,118700.0,117300.0,116200.0,119400.0,124300.0,121100.0,122700.0,119800.0,118000.0,118800.0,117700.0,120400.0,109400.0,111400.0,113000.0,122300.0,120800.0,120400.0,117800.0,120100.0,118400.0,119000.0,117200.0,115200.0,116400.0,110000.0,113700.0,112800.0,119500.0,119100.0,121300.0,121100.0,122600.0,119700.0,118900.0,118300.0,121200.0,124600.0,120700.0,116500.0,114100.0,119600.0,119500.0,117700.0,118000.0,121700.0,129200.0,131200.0,129700.0,125400.0,122400.0,126700.0,126700.0,127000.0,126900.0,130000.0,128300.0,125500.0,129600.0,132800.0,131300.0,128700.0,129400.0,130700.0,128300.0,129100.0,132900.0,134600.0,
3,77449,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146800.0,147800.0,147500.0,149100.0,150700.0,153100.0,152600.0,154000.0,155500.0,158400.0,155200.0,153900.0,158300.0,164200.0,165300.0,159800.0,159200.0,164500.0,172100.0,174000.0,173800.0,169600.0,167200.0,166000.0,168300.0,168900.0,168400.0,161300.0,162700.0,162400.0,170200.0,171300.0,175100.0,175900.0,177900.0,179300.0,177500.0,174100.0,171200.0,177700.0,181000.0,183400.0,179400.0,180400.0,179300.0,178300.0
4,10016,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,731400.0,604700.0,661100.0,626600.0,756300.0,765400.0,793900.0,674500.0,664200.0,636300.0,687500.0,697300.0,711300.0,722700.0,738100.0,753900.0,737800.0,723800.0,730000.0,730300.0,705700.0,670400.0,648500.0,658900.0,675700.0,693200.0,700200.0,698900.0,714900.0,815400.0,835700.0,852400.0,794900.0,855600.0,867000.0,867200.0,841800.0,834100.0,869500.0,829200.0,877000.0,867700.0,876500.0,850200.0,851200.0,874600.0,870300.0,880400.0,867200.0,858500.0,795600.0,816300.0,781000.0,802400.0,776200.0,735900.0,801700.0,833400.0,928300.0,880700.0,862800.0,823900.0,825600.0,823900.0,784000.0,799100.0,803200.0,833800.0,872900.0,846000.0,883700.0,816900.0,835800.0,820800.0
5,37013,Tennessee,133100.0,134600.0,132700.0,132500.0,132200.0,132200.0,132100.0,132800.0,128900.0,124700.0,121200.0,125600.0,131800.0,130900.0,127600.0,124700.0,128900.0,129300.0,128000.0,128500.0,125000.0,126200.0,120600.0,123200.0,122700.0,121300.0,121400.0,121200.0,121900.0,118200.0,118500.0,114900.0,113000.0,111100.0,110300.0,114100.0,108600.0,104600.0,101100.0,102700.0,106100.0,103300.0,103500.0,101500.0,102300.0,106400.0,110200.0,115000.0,108000.0,104700.0,103300.0,104400.0,104200.0,98600.0,106500.0,113100.0,115300.0,107500.0,106600.0,109400.0,114600.0,118300.0,120700.0,123900.0,124200.0,120400.0,118900.0,120300.0,125900.0,130600.0,132600.0,134900.0,134200.0,132700.0,131600.0,130900.0,129500.0,130600.0,131900.0,133200.0,133900.0,133800.0,135000.0,144500.0,148500.0,146700.0,141000.0,140600.0,147400.0,148300.0,149400.0,148400.0,148800.0,148900.0,152000.0,152500.0,154600.0,152900.0,156100.0,159200.0,161100.0,162100.0,164900.0,169400.0,173800.0,173900.0,172600.0,174800.0,175000.0,179200.0,177400.0,178000.0,180100.0,185300.0,193000.0,196700.0,196900.0,196100.0,192800.0,195700.0,198600.0,204000.0,211900.0,213700.0,220900.0,215800.0
6,78660,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160000.0,161000.0,170300.0,177400.0,182400.0,185300.0,180700.0,179400.0,174300.0,174900.0,174000.0,178200.0,179300.0,180400.0,178900.0,179400.0,178500.0,182000.0,183200.0,183100.0,184200.0,187000.0,191600.0,193300.0,196400.0,201000.0,206400.0,213700.0,212600.0,209600.0,204200.0,203900.0,205900.0,207500.0,213700.0,210600.0,209800.0,206500.0,214600.0,219800.0,224300.0,224700.0,226600.0,230000.0,234100.0,240700.0,238400.0,237900.0,235200.0,236500.0,235500.0,232400.0,234100.0,238600.0,239200.0,240800.0,238800.0,244700.0,239600.0,237500.0,235000.0,240700.0,243400.0,247200.0,246600.0,
7,90250,California,478100.0,444600.0,392500.0,380300.0,421900.0,407500.0,398700.0,382400.0,397700.0,400800.0,360000.0,338100.0,322500.0,322900.0,313300.0,317200.0,317000.0,319200.0,315600.0,317200.0,321300.0,339800.0,326700.0,332800.0,326300.0,349200.0,370500.0,357700.0,352000.0,329900.0,331700.0,343700.0,332200.0,334500.0,314900.0,340700.0,332700.0,360100.0,337500.0,324300.0,302300.0,294500.0,312400.0,317800.0,334800.0,327300.0,299800.0,269500.0,276900.0,299100.0,316800.0,310000.0,323500.0,315600.0,328900.0,326900.0,371400.0,366500.0,358400.0,344200.0,363900.0,360100.0,358600.0,377300.0,398600.0,414300.0,409800.0,403900.0,404900.0,397800.0,427900.0,441600.0,441000.0,439600.0,443900.0,457100.0,463300.0,475200.0,488300.0,495200.0,470900.0,484100.0,445800.0,460900.0,471000.0,506500.0,520600.0,502300.0,498100.0,472800.0,473800.0,476800.0,502800.0,511800.0,505900.0,503400.0,500300.0,522800.0,518400.0,543800.0,541900.0,554300.0,537400.0,562000.0,577200.0,582800.0,581800.0,577400.0,584400.0,585700.0,600500.0,597300.0,634500.0,613300.0,621500.0,586800.0,598200.0,578100.0,571500.0,586600.0,615100.0,636100.0,645500.0,658200.0,674800.0,681600.0
8,37211,Tennessee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173100.0,174200.0,171700.0,170000.0,174800.0,175600.0,181300.0,174400.0,180200.0,182500.0,187400.0,184500.0,184800.0,182900.0,188700.0,191100.0,196000.0,198700.0,212400.0,214700.0,213900.0,201000.0,201600.0,202100.0,207000.0,211400.0,219500.0,224100.0,226000.0,221700.0,224900.0,227700.0,231000.0,233000.0,231600.0,234800.0,232300.0,235200.0,237900.0,237400.0,241400.0,238600.0,255000.0,255800.0,264400.0,259200.0,257200.0,256000.0,246000.0
9,60618,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340700.0,349600.0,333200.0,326200.0,321600.0,313600.0,297900.0,318200.0,324800.0,365900.0,368000.0,370900.0,354200.0,358000.0,362600.0,365600.0,361500.0,365500.0,356400.0,344900.0,325700.0,343300.0,369400.0,388400.0,380400.0,359200.0,350700.0,353700.0,367200.0,367300.0,373800.0,354600.0,366100.0,355000.0,355100.0,328900.0,341000.0,355300.0,353100.0,358100.0,358200.0,389300.0,393400.0,407700.0,410200.0,401400.0,400800.0,402400.0,407000.0,389400.0,369200.0,374000.0,394000.0,405700.0,413200.0,435500.0,439500.0,430200.0,385500.0,386600.0,374500.0,379200.0
